course_id,dept,title,credits,gpa,enrollment,withdraw,past_classes,new_classes
AAD 1004,AAD,"Exploring Arch, Arts, & Design",2,3.96,21.0,0.0,2,1
AAD 1204,AAD,Thinking Globally,1,3.79,45.0,0.0,3,2
AAD 1214,AAD,Acting Locally,2,3.86,61.0,0.0,1,0
AAEC 1005,AAEC,Econ Food Fiber Sys,3,2.77,148.64,6.91,22,2
AAEC 1006,AAEC,Econ Food Fiber Syst,3,2.66,183.21,9.07,14,2
AAEC 2104,AAEC,Personal Financial Planning,3,3.62,545.64,3.18,11,1
AAEC 2434,AAEC,Foundations of Agribusiness,3,3.4,82.82,1.36,11,1
AAEC 3004,AAEC,Agr Prod & Cons Econ,3,3.07,31.64,0.82,11,1
AAEC 3014,AAEC,Analytic Methods Applied Econ,3,3.27,42.4,0.0,5,0
AAEC 3015,AAEC,Special Study,1,3.63,26.62,0.15,13,2
AAEC 3024,AAEC,Monetary Glob Iss Applied Econ,3,3.6,58.2,0.2,5,0
AAEC 3204,AAEC,Intl Agri Dvlp & Trad,3,3.21,31.36,0.73,11,1
AAEC 3314,AAEC,Environmental Law,3,3.04,80.56,1.0,9,1
AAEC 3324,AAEC,Environment Sustain Dev Econ,3,3.13,53.0,1.09,11,1
AAEC 3424,AAEC,Value-Based Mgmt in AgBusiness,3,3.78,28.5,0.0,6,0
AAEC 3454,AAEC,Small Bus Mgt and Ent,3,3.69,67.1,0.3,10,1
AAEC 3504,AAEC,Marketing Ag Products,3,3.59,69.17,0.0,6,1
AAEC 3514,AAEC,Ag Futures,3,2.81,32.43,0.43,7,1
AAEC 3604,AAEC,Agricultural Law,3,2.97,73.4,0.2,5,0
AAEC 3984,AAEC,Special Study,3,3.68,18.25,0.5,4,1
AAEC 4204,AAEC,Food and Agricultural Policy,3,3.52,20.0,0.0,5,0
AAEC 4314,AAEC,Env Econ Analy & Mgt,3,3.19,19.0,0.0,5,0
AAEC 4324,AAEC,Rural Regional Dvlp Policy,3,3.01,28.17,0.83,6,1
AAEC 4404,AAEC,Ag Mgmt & Prob Solv,3,4.0,10.0,0.0,4,0
AAEC 4414,AAEC,Applied Econ Problem-Solving,3,4.0,7.25,0.0,4,0
AAEC 4424,AAEC,Ag Financial Management,3,2.8,40.83,0.5,6,1
AAEC 4464,AAEC,Water Resources Policy & Econ,3,3.36,9.0,0.0,3,0
AAEC 4484,AAEC,Applied Economic Forecasting,3,3.4,6.0,0.0,1,0
AAEC 4504,AAEC,Ag Price Analysis,3,3.07,16.17,0.33,6,0
AAEC 4514,AAEC,Adv Agribus Mkting,3,3.59,34.33,0.0,6,0
AAEC 4754,AAEC,Real Estate Law,3,2.94,91.0,1.0,10,0
AAEC 4764,AAEC,Real Estate Appraisal,3,3.16,87.0,0.0,1,0
AAEC 4814,AAEC,Food and Health Economics,3,3.43,67.6,0.2,5,0
AAEC 4984,AAEC,Special Study,3,3.82,6.67,0.0,3,0
AAEC 4994,AAEC,Special Study,1,4.0,5.8,0.0,5,0
AAEC 5014,AAEC,Applied Economic Analytics,3,3.66,16.5,0.5,2,1
AAEC 5024,AAEC,Math Prog for Econ,3,3.79,9.67,0.0,3,0
AAEC 5025,AAEC,Special Study,3,3.56,8.56,0.0,9,2
AAEC 5026,AAEC,Applied Microeconomics,3,3.69,7.0,0.0,1,0
AAEC 5044,AAEC,Applied Macroeconomics,3,3.78,10.33,0.0,3,0
AAEC 5054,AAEC,Strategic Agribusiness Mgmt,3,3.99,12.0,0.0,2,1
