dept_id,gpa,past_classes,unique_classes,new_classes,title
AAD,3.85,3,3,3,"Architecture, Arts, and Design"
AAEC,3.39,280,60,43,Agricultural and Applied Economics
ACIS,3.17,939,48,89,Accounting and Information Systems
ADV,3.27,4,2,6,Advertising
AFST,3.54,119,18,20,Africana Studies
AHRM,3.64,45,4,4,"Apparel, Housing, and Resource Management"
AINS,3.76,61,8,6,American Indian Studies
ALCE,3.77,173,44,24,"Agricultural, Leadership, and Community Education"
ALS,3.4,206,41,21,Agriculture and Life Sciences
AOE,3.47,734,109,93,Aerospace and Ocean Engineering
APS,3.7,64,11,7,Appalachian Studies
APSC,3.47,376,51,53,Animal and Poultry Sciences
ARBC,3.58,102,15,12,Arabic
ARCH,3.66,1115,72,171,Architecture
ART,3.69,712,81,106,Art and Art History
AS,3.84,128,9,15,Military Aerospace Studies
ASPT,3.8,28,6,5,"Alliance for Social, Political, Ethical, and Cultural Thought"
AT,2.97,246,47,24,Agricultural Technology
BC,3.32,331,41,37,Building Construction
BCHM,3.46,155,24,23,Biochemistry
BDS,3.38,8,2,3,Behavioral Decision Science
BIOL,3.48,1431,103,191,Biological Sciences
BIT,3.44,763,58,95,Business Information Technology
BMES,3.81,184,43,40,Biomedical Engineering and Sciences
BMSP,3.19,88,5,5,Biomedical Sciences and Pathobiology
BMVS,3.85,61,17,15,Biomedical and Veterinary Sciences
BSE,3.66,197,44,21,Biological Systems Engineering
CAUS,3.89,7,3,0,Discontinued
CEE,3.42,994,155,103,Civil and Environmental Engineering
CEM,3.42,105,15,17,Construction Engineering and Management
CHE,3.47,210,32,17,Chemical Engineering
CHEM,3.17,2335,81,299,Chemistry
CHN,3.76,89,10,11,Chinese
CINE,3.53,106,12,15,Cinema
CLA,3.34,46,8,4,Classical Studies
CMDA,3.21,174,18,23,Computational Modeling and Data Analytics
CMST,3.36,77,14,8,Communication Studies
CNST,3.86,25,8,6,Construction
COMM,3.42,855,70,85,Communication
CONS,3.43,58,10,5,Consumer Studies
COS,3.79,52,12,9,College of Science
CRIM,3.55,113,9,9,Criminology
CS,3.48,1071,123,141,Computer Science
CSES,3.43,192,48,13,Crop and Soil Environmental Sciences
DANC,3.78,21,5,5,Dance
DASC,3.69,122,24,9,Dairy Science
ECE,3.32,1283,178,157,Electrical and Computer Engineering
ECON,3.19,433,55,55,Economics
EDCI,3.93,285,55,60,"Education, Curriculum and Instruction"
EDCO,3.97,84,19,2,Counselor Education
