instructor_id,last_name,dept,gpa,enrollment,withdraw,past_classes,new_classes
ALI (APSC),ALI,APSC,4.0,6.0,0.0,1,2
Aadahl (SOC),Aadahl,SOC,3.5,39.0,0.0,2,0
Abaid (CMDA),Abaid,CMDA,2.57,27.8,1.4,5,0
Abaid (ESM),Abaid,ESM,3.94,5.0,0.0,1,0
Abaid (MATH),Abaid,MATH,3.02,26.33,4.0,3,0
Abaye (CSES),Abaye,CSES,3.44,17.85,0.05,20,1
Abaye (HORT),Abaye,HORT,3.38,6.0,0.0,2,0
Abaye (SPES),Abaye,SPES,3.68,15.5,0.5,6,4
Abbas (CEE),Abbas,CEE,3.58,30.43,0.29,14,1
Abbate (STS),Abbate,STS,3.85,6.38,0.0,8,0
Abbott (ECE),Abbott,ECE,2.9,47.75,2.1,20,1
Abdel Haleem (ARCH),Abdel Haleem,ARCH,3.47,10.33,0.0,3,0
Abdelaziz (CEE),Abdelaziz,CEE,3.37,16.2,0.2,5,0
Abdelhalim (CEE),Abdelhalim,CEE,3.74,40.0,0.0,1,0
Abdelrahman (CS),Abdelrahman,CS,3.0,86.5,7.0,2,0
Abernathy (FIW),Abernathy,FIW,3.22,45.0,0.0,1,0
Abeysekara (IS),Abeysekara,IS,2.82,9.0,1.0,1,1
Abeysekara (PSCI),Abeysekara,PSCI,2.93,14.0,0.0,1,1
Abeysekara (RLCL),Abeysekara,RLCL,3.07,20.2,1.47,15,2
Abobaker (MATH),Abobaker,MATH,2.32,27.9,3.67,30,0
Abraham (ECE),Abraham,ECE,2.89,95.0,12.0,1,0
Abraham (GEOG),Abraham,GEOG,2.8,5.0,0.0,1,0
Abraham (IS),Abraham,IS,3.1,18.5,0.5,2,0
Abraham (PSCI),Abraham,PSCI,3.33,23.86,0.64,14,0
Abrahams (BIT),Abrahams,BIT,3.81,31.19,0.05,21,2
Abrahams (HIST),Abrahams,HIST,3.66,26.0,0.0,2,0
Acar (ME),Acar,ME,3.62,34.5,0.08,12,1
Achenie (BMES),Achenie,BMES,3.18,13.0,0.0,1,0
Achenie (BSE),Achenie,BSE,3.37,7.0,0.0,1,0
Achenie (CHE),Achenie,CHE,3.45,28.38,0.0,8,1
Acito (ACIS),Acito,ACIS,3.67,17.67,0.0,12,0
Adams (AAEC),Adams,AAEC,3.78,25.83,0.17,6,0
Adams (AOE),Adams,AOE,3.38,14.78,0.06,18,0
Adams (AS),Adams,AS,3.86,41.4,0.0,20,0
Adams (EDHE),Adams,EDHE,3.81,8.64,0.0,22,3
Adams (GEOG),Adams,GEOG,2.99,30.0,1.0,1,0
Adams (MSE),Adams,MSE,3.7,76.5,0.0,2,0
Adams (PSYC),Adams,PSYC,3.75,46.43,0.1,21,3
Adeyeye (ENGL),Adeyeye,ENGL,3.38,17.14,0.14,7,0
Adhikari (CS),Adhikari,CS,3.75,10.0,0.0,1,0
Adjei (MATH),Adjei,MATH,2.3,30.67,5.33,3,0
Adjei (PHYS),Adjei,PHYS,3.41,94.0,1.0,1,0
Adjerid (BIT),Adjerid,BIT,3.46,44.46,0.23,13,1
Adjerid (MATH),Adjerid,MATH,2.85,21.92,1.0,13,1
Afonja (ENGE),Afonja,ENGE,3.26,32.5,0.0,2,0
Afsari (CEM),Afsari,CEM,3.8,23.0,0.15,13,2
Afsari (CNST),Afsari,CNST,4.0,5.0,0.0,1,1
Aga (ARCH),Aga,ARCH,3.75,18.0,0.0,2,0
Agah (ECE),Agah,ECE,3.13,18.0,0.0,3,1
Agee (BC),Agee,BC,3.49,35.09,0.05,22,2
Aggrey (STS),Aggrey,STS,3.56,14.0,0.0,1,1
Agmon (HIST),Agmon,HIST,3.61,21.25,0.5,4,0
Agnew (GEOG),Agnew,GEOG,2.92,5.0,0.0,1,0
Agnew (SOC),Agnew,SOC,2.07,6.0,0.0,1,0
Agnew (UAP),Agnew,UAP,3.28,7.5,0.0,2,0
Agozino (AFST),Agozino,AFST,3.23,22.5,1.12,8,2
Agozino (CRIM),Agozino,CRIM,3.18,27.83,3.33,6,0
Agozino (SOC),Agozino,SOC,3.33,41.67,6.17,6,0
Agrawal (NEUR),Agrawal,NEUR,3.84,20.0,0.0,1,1
Agud (MATH),Agud,MATH,2.45,48.92,9.32,25,4
Aguilar (CEE),Aguilar,CEE,3.36,18.5,0.0,2,0
Agurto Adrianzen (ECON),Agurto Adrianzen,ECON,3.97,9.0,0.0,1,0
Ahmadi (ESM),Ahmadi,ESM,3.1,17.0,0.0,1,0
Ahmadian (CS),Ahmadian,CS,3.57,72.0,3.0,1,0
Ahmadian (ME),Ahmadian,ME,3.35,77.0,1.2,5,1
Ahmed (BMVS),Ahmed,BMVS,4.0,10.0,0.0,1,1
Ahmed (GRAD),Ahmed,GRAD,4.0,6.0,0.0,1,0
Ahram (GIA),Ahram,GIA,3.43,10.09,0.0,11,1
Ahram (IS),Ahram,IS,3.93,6.0,0.0,2,0
Ahram (PSCI),Ahram,PSCI,3.88,5.5,0.0,4,0
Ahram (SPIA),Ahram,SPIA,3.2,10.5,0.5,2,1
Aidi (ESM),Aidi,ESM,2.94,25.19,2.06,16,3
Aidi (MSE),Aidi,MSE,3.31,9.86,0.07,14,2
Aitken (ENGL),Aitken,ENGL,3.71,19.67,0.33,3,1
Akanmu (BC),Akanmu,BC,2.98,35.73,0.0,11,0
Akanmu (CEM),Akanmu,CEM,3.74,22.0,0.0,4,1
Akanmu (CNST),Akanmu,CNST,4.0,6.0,0.0,1,0
Akbari Hamed (ECE),Akbari Hamed,ECE,3.53,7.0,0.0,1,0
Akbari Hamed (ME),Akbari Hamed,ME,3.54,36.3,0.4,10,0
