stat_id,course_id,instructor_id,gpa,enrollment,withdraw,past_classes
ALI (APSC) APSC 5984,APSC 5984,ALI (APSC),4.0,6.0,0.0,1
Aadahl (SOC) SOC 1004,SOC 1004,Aadahl (SOC),3.47,40.0,0.0,1
Aadahl (SOC) SOC 2004,SOC 2004,Aadahl (SOC),3.52,38.0,0.0,1
Abaid (CMDA) CMDA 3605,CMDA 3605,Abaid (CMDA),2.57,27.8,1.4,5
Abaid (ESM) ESM 5754,ESM 5754,Abaid (ESM),3.97,6.0,0.0,2
Abaid (MATH) MATH 2214,MATH 2214,Abaid (MATH),2.5,36.0,4.33,3
Abaid (MATH) MATH 5514,MATH 5514,Abaid (MATH),3.94,10.0,1.0,1
Abaye (CSES) CSES 2244,CSES 2244,Abaye (CSES),3.55,32.6,0.6,5
Abaye (CSES) CSES 2434,CSES 2434,Abaye (CSES),3.44,10.0,0.0,3
Abaye (CSES) CSES 3444,CSES 3444,Abaye (CSES),3.39,14.88,0.0,8
Abaye (CSES) CSES 3954,CSES 3954,Abaye (CSES),2.96,8.0,0.0,1
Abaye (CSES) CSES 4544,CSES 4544,Abaye (CSES),3.14,27.5,0.0,2
Abaye (CSES) CSES 4984,CSES 4984,Abaye (CSES),3.87,7.0,0.0,2
Abaye (HORT) HORT 3444,HORT 3444,Abaye (HORT),3.38,6.0,0.0,2
Abaye (SPES) SPES 2244,SPES 2244,Abaye (SPES),3.54,17.0,0.5,4
Abaye (SPES) SPES 3984,SPES 3984,Abaye (SPES),3.98,12.5,0.5,2
Abbas (CEE) CEE 3604,CEE 3604,Abbas (CEE),3.41,46.5,0.67,6
Abbas (CEE) CEE 3804,CEE 3804,Abbas (CEE),3.68,49.5,0.0,2
Abbas (CEE) CEE 4604,CEE 4604,Abbas (CEE),3.51,43.0,0.0,1
Abbas (CEE) CEE 5604,CEE 5604,Abbas (CEE),3.6,9.5,0.0,4
Abbas (CEE) CEE 5694,CEE 5694,Abbas (CEE),3.92,8.0,0.0,3
Abbate (STS) STS 5024,STS 5024,Abbate (STS),3.68,7.5,0.0,2
Abbate (STS) STS 5205,STS 5205,Abbate (STS),3.83,7.0,0.0,1
Abbate (STS) STS 5206,STS 5206,Abbate (STS),3.88,6.33,0.0,3
Abbate (STS) STS 5404,STS 5404,Abbate (STS),3.67,6.0,0.0,1
Abbate (STS) STS 6244,STS 6244,Abbate (STS),3.94,5.5,0.0,2
Abbott (ECE) ECE 2534,ECE 2534,Abbott (ECE),2.34,30.0,2.5,2
Abbott (ECE) ECE 2544,ECE 2544,Abbott (ECE),2.39,30.0,3.5,2
