instance_id,course_id,instructor_id,year,term,crn,gpa,withdraw,enrollment
2018-19Fall80350,AOE 4254,Alexander (AOE),2018-19,Fall,80350,3.34,0,5
2018-19Fall81619,BMVS 6094,Rossmeisl (BMVS),2018-19,Fall,81619,3.74,0,5
2018-19Fall83585,EDCI 5844,Wells (EDCI),2018-19,Fall,83585,4.0,0,5
2018-19Fall83586,EDCI 5844,Wells (EDCI),2018-19,Fall,83586,4.0,0,5
2018-19Fall84308,ESM 3064,Aidi (ESM),2018-19,Fall,84308,3.6,0,5
2018-19Fall84615,FREC 3454,Wiseman (FREC),2018-19,Fall,84615,3.2,0,5
2018-19Fall86732,MUS 2244,Lantz Crone (MUS),2018-19,Fall,86732,4.0,1,5
2018-19Fall86740,MUS 2514,Cowan (MUS),2018-19,Fall,86740,3.8,0,5
2018-19Fall86755,MUS 2634,Easter (MUS),2018-19,Fall,86755,3.0,0,5
2018-19Fall87666,PPWS 5214,Baudoin (PPWS),2018-19,Fall,87666,3.48,0,5
2018-19Fall88221,TA 3014,Stein (TA),2018-19,Fall,88221,3.94,0,5
2018-19Fall89325,MUS 2515,Thorsett (MUS),2018-19,Fall,89325,3.68,0,5
2018-19Fall90008,ALS 2974,Gerrard (ALS),2018-19,Fall,90008,4.0,0,5
2018-19Fall90981,UAP 5424,Beske (UAP),2018-19,Fall,90981,4.0,0,5
2018-19Fall90985,CS 2304,Lohani (CS),2018-19,Fall,90985,4.0,0,5
2018-19Fall91146,AT 974,Guthrie (AT),2018-19,Fall,91146,3.28,0,5
2018-19Spring10664,ARBC 4974,Jones (ARBC),2018-19,Spring,10664,3.86,0,5
2018-19Spring11408,BIOL 3104,Voshell (BIOL),2018-19,Spring,11408,3.8,0,5
2018-19Spring11463,BIOL 6004,Sewall (BIOL),2018-19,Spring,11463,4.0,0,5
2018-19Spring12995,CSES 5004,Maguire (CSES),2018-19,Spring,12995,3.94,0,5
2018-19Spring16886,MUS 2254,Bean (MUS),2018-19,Spring,16886,3.8,0,5
2018-19Spring16900,MUS 2554,Weinstein (MUS),2018-19,Spring,16900,4.0,0,5
2018-19Spring16905,MUS 2614,Hutchins (MUS),2018-19,Spring,16905,4.0,0,5
2018-19Spring16907,MUS 2634,Easter (MUS),2018-19,Spring,16907,3.54,0,5
2018-19Spring16912,MUS 2684,Stevens (MUS),2018-19,Spring,16912,3.94,0,5
2018-19Spring18408,TA 3014,Stein (TA),2018-19,Spring,18408,4.0,0,5
2018-19Spring18409,TA 3014,Stein (TA),2018-19,Spring,18409,4.0,0,5
2018-19Spring18414,TA 3014,Heatherington Tilka (TA),2018-19,Spring,18414,3.54,0,5
2018-19Spring20568,BMVS 5984,Sponenberg (BMVS),2018-19,Spring,20568,4.0,0,5
2019-20Fall80352,AOE 4105,Coutier-Delgosha (AOE),2019-20,Fall,80352,3.3,0,5
2019-20Fall80362,AOE 4205,Alexander (AOE),2019-20,Fall,80362,2.68,0,5
2019-20Fall80364,AOE 4205,Alexander (AOE),2019-20,Fall,80364,1.94,0,5
2019-20Fall82433,CHEM 4124,Tissue (CHEM),2019-20,Fall,82433,3.34,0,5
2019-20Fall82718,COS 2164,Watford (COS),2019-20,Fall,82718,3.14,0,5
2019-20Fall84812,FREC 5014,Cobourn (FREC),2019-20,Fall,84812,4.0,0,5
2019-20Fall84943,GEOS 1124,Chermak (GEOS),2019-20,Fall,84943,3.6,0,5
2019-20Fall87559,MSE 3324,Druschitz (MSE),2019-20,Fall,87559,2.88,0,5
2019-20Fall87667,MUS 2244,Dokshansky (MUS),2019-20,Fall,87667,3.88,0,5
2019-20Fall87700,MUS 3035,Tu (MUS),2019-20,Fall,87700,3.28,0,5
2019-20Fall87714,MUS 3314,Weinstein (MUS),2019-20,Fall,87714,4.0,0,5
2019-20Fall87722,MUS 3314,Pace (MUS),2019-20,Fall,87722,4.0,0,5
2019-20Fall89239,TA 3014,Heatherington Tilka (TA),2019-20,Fall,89239,3.06,0,5
2019-20Fall89247,TA 3014,Stein (TA),2019-20,Fall,89247,4.0,0,5
2019-20Fall91201,UH 2834,Sagheb (UH),2019-20,Fall,91201,3.94,0,5
2019-20Fall91610,UAP 5424,Beske (UAP),2019-20,Fall,91610,4.0,0,5
2019-20Spring12450,CHEM 1046,Long (CHEM),2019-20,Spring,12450,3.66,0,5
2019-20Spring12519,CHEM 2124,Geller (CHEM),2019-20,Spring,12519,3.94,0,5
2019-20Spring12581,CHEM 3625,Orler (CHEM),2019-20,Spring,12581,3.4,0,5
2019-20Spring12816,CMST 3044,Sowder (CMST),2019-20,Spring,12816,4.0,0,5
2019-20Spring13315,DASC 5004,Winston (DASC),2019-20,Spring,13315,3.6,0,5
2019-20Spring14899,FIN 3174,Lytton (FIN),2019-20,Spring,14899,3.6,0,5
2019-20Spring15761,HTM 5944,McGehee (HTM),2019-20,Spring,15761,4.0,0,5
2019-20Spring17651,MUS 3046,Martinkus (MUS),2019-20,Spring,17651,3.46,0,5
2019-20Spring17661,MUS 3314,Lantz Crone (MUS),2019-20,Spring,17661,3.74,0,5
2019-20Spring19238,TA 3014,Stein (TA),2019-20,Spring,19238,3.88,0,5
2019-20Spring19242,TA 3014,Stein (TA),2019-20,Spring,19242,4.0,0,5
2019-20Spring19815,CHEM 1045,Long (CHEM),2019-20,Spring,19815,3.8,0,5
2019-20Spring19818,CHEM 1045,Long (CHEM),2019-20,Spring,19818,2.48,0,5
2019-20Spring20478,AOE 4206,Alexander (AOE),2019-20,Spring,20478,3.26,0,5
2019-20Spring20493,AOE 4106,Coutier-Delgosha (AOE),2019-20,Spring,20493,4.0,0,5
2020-21Fall80265,ALCE 5814,Scherer (ALCE),2020-21,Fall,80265,4.0,0,5
2020-21Fall82632,CHEM 3625,Orler (CHEM),2020-21,Fall,82632,3.4,0,5
2020-21Fall83238,CSES 3124,Angel (CSES),2020-21,Fall,83238,3.8,0,5
2020-21Fall83366,ECE 3274,Cooper (ECE),2020-21,Fall,83366,3.68,0,5
2020-21Fall83368,ECE 3354,Cooper (ECE),2020-21,Fall,83368,3.0,0,5
2020-21Fall83369,ECE 3354,Cooper (ECE),2020-21,Fall,83369,2.88,0,5
2020-21Fall84709,ENSC 3124,Angel (ENSC),2020-21,Fall,84709,3.68,0,5
2020-21Fall84784,ESM 3064,Galitz (ESM),2020-21,Fall,84784,3.14,0,5
2020-21Fall85240,GBCB 5004,Mukhopadhyay (GBCB),2020-21,Fall,85240,4.0,0,5
2020-21Fall85344,GEOS 1124,Chermak (GEOS),2020-21,Fall,85344,3.6,0,5
2020-21Fall85797,HORT 4205,Douglas (HORT),2020-21,Fall,85797,4.0,0,5
2020-21Fall88390,MSE 3324,Druschitz (MSE),2020-21,Fall,88390,3.18,0,5
2020-21Fall88397,MSE 4075,Aning (MSE),2020-21,Fall,88397,3.74,0,5
2020-21Fall88503,MUS 2244,Lantz Crone (MUS),2020-21,Fall,88503,3.52,0,5
2020-21Fall88507,MUS 2264,Irrera (MUS),2020-21,Fall,88507,3.74,0,5
2020-21Fall88521,MUS 2574,Lantz Crone (MUS),2020-21,Fall,88521,2.94,0,5
2020-21Fall88574,MUS 4055,Dunston (MUS),2020-21,Fall,88574,3.8,0,5
2020-21Fall89381,PHYS 4994,Simonetti (PHYS),2020-21,Fall,89381,4.0,0,5
2020-21Fall91598,BSE 4534,Zhang (BSE),2020-21,Fall,91598,4.0,0,5
2020-21Fall91610,UH 2814,Haines (UH),2020-21,Fall,91610,4.0,0,5
2020-21Fall92038,CSES 3124,Angel (CSES),2020-21,Fall,92038,4.0,0,5
2020-21Fall92179,CHEM 3984,Merola (CHEM),2020-21,Fall,92179,4.0,0,5
2020-21Fall92372,BCHM 1984,Gillaspy (BCHM),2020-21,Fall,92372,4.0,0,5
2020-21Fall92404,HNFE 1114,Eaton (HNFE),2020-21,Fall,92404,3.46,0,5
2020-21Fall92415,SPES 5984,Li (SPES),2020-21,Fall,92415,4.0,0,5
2020-21Fall92432,FREC 5884,Possinger (FREC),2020-21,Fall,92432,4.0,0,5
