crn,course,title,schedule_type,modality,cr_hrs,capacity,instructor,days,start_time,end_time,location,exam
10058,AAD-1214,Acting Locally,L,Face-to-Face Instruction,2,48,GW Hamming,M W,2:30PM,3:20PM,WLH 345,14M
20556,AAD-1214,Acting Locally,L,Face-to-Face Instruction,2,48,GW Hamming,M W,1:25PM,2:15PM,WLH 345,13M
21223,AAD-4234,Capstone Collaborations,L,Face-to-Face Instruction,3,10,BR Kirkland,W,9:30AM,12:00PM,BURCH 021,09W
10059,AAEC-1005,Econ Food Fiber Sys,L,Face-to-Face Instruction,3,70,PW Vertino de Queiroz,M W F,1:25PM,2:15PM,SEITZ 300,13M
10060,AAEC-1005,Econ Food Fiber Sys,L,Face-to-Face Instruction,3,302,SK Stephenson,M W F,12:20PM,1:10PM,SQUIR COLNL,12M
10061,AAEC-1006,Econ Food Fiber Syst,L,Face-to-Face Instruction,3,70,N Abedin,M W F,10:10AM,11:00AM,SEITZ 300,10M
10062,AAEC-1006,Econ Food Fiber Syst,L,Face-to-Face Instruction,3,621,MJ Ellerbrock,M W F,9:05AM,9:55AM,SQUIR COLNL,09M
10063,AAEC-2104,Personal Financial Planning,L,Face-to-Face Instruction,3,621,WA White,M W F,11:15AM,12:05PM,SQUIR COLNL,11M
10064,AAEC-2434,Foundations of Agribusiness,L,Face-to-Face Instruction,3,129,P Morelli Mercadante,M W F,1:25PM,2:15PM,SMYTH 146,13M
10065,AAEC-2974,Independent Study,I,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10066,AAEC-3004,Agr Prod & Cons Econ,L,Face-to-Face Instruction,3,48,C Wang,T R,2:00PM,3:15PM,FRALN 002,14T
10067,AAEC-3014,Analytic Methods Applied Econ,L,Face-to-Face Instruction,3,72,Z Chen,M W,4:00PM,5:15PM,WHIT 300,16M
10068,AAEC-3024,Monetary Glob Iss Applied Econ,L,Face-to-Face Instruction,3,72,YE Karagulle,M W F,1:25PM,2:15PM,NCB 270,13M
10069,AAEC-3204,Intl Agri Dvlp & Trad,L,Face-to-Face Instruction,3,48,C Larochelle,T R,11:00AM,12:15PM,MCB 209,11T
10070,AAEC-3314,Environmental Law,L,Face-to-Face Instruction,3,143,J Friedel,T R,11:00AM,12:15PM,NCB 160,11T
10071,AAEC-3324,Environment Sustain Dev Econ,L,Face-to-Face Instruction,3,152,MJ Ellerbrock,M W F,12:20PM,1:10PM,NCB 260,12M
10072,AAEC-3424,Value-Based Mgmt in AgBusiness,L,Face-to-Face Instruction,3,64,PW Vertino de Queiroz,T R,12:30PM,1:45PM,LITRV 1860,12T
21227,AAEC-3424,Value-Based Mgmt in AgBusiness,L,Face-to-Face Instruction,3,0,PW Vertino de Queiroz,M W F,10:10AM,11:00AM,FRALN 002,10M
10073,AAEC-3454,Small Bus Mgt and Ent,L,Face-to-Face Instruction,3,64,C Wang,T R,9:30AM,10:45AM,LITRV 1860,09T
21224,AAEC-3454,Small Bus Mgt and Ent,L,Face-to-Face Instruction,3,64,P Morelli Mercadante,T R,2:00PM,3:15PM,LITRV 1860,14T
10074,AAEC-3604,Agricultural Law,L,Face-to-Face Instruction,3,127,J Friedel,T R,2:00PM,3:15PM,LITRV 1870,14T
10075,AAEC-4204,Food and Agricultural Policy,L,Hybrid (F2F & Online Instruc.),3,40,DW Dalton,T R,2:00PM,3:15PM,MCB 240,14T
10076,AAEC-4314,Env Econ Analy & Mgt,L,Face-to-Face Instruction,3,48,SK Stephenson,M W F,9:05AM,9:55AM,MCB 126,09M
21228,AAEC-4354,Energy Economics,L,,3,48,CL Ta,T R,2:00PM,3:15PM,MCB 126,14T
10077,AAEC-4414,Applied Econ Problem-Solving,L,Face-to-Face Instruction,3,40,P Morelli Mercadante,M W,11:00AM,12:15PM,TBA,11M
10078,AAEC-4434,Commodity Invest by Students,L,Face-to-Face Instruction,2,48,O Isengildina Massa,W,5:30PM,6:30PM,FRALN 102,17W
,,,,* Additional Times *,F,2:30PM,3:30PM,HUTCH 310,,,,
10079,AAEC-4464,Water Resources Policy & Econ,L,Face-to-Face Instruction,3,70,GS Amacher,T R,11:00AM,12:15PM,FRALN 102,11T
10080,AAEC-4484,Applied Economic Forecasting,L,Face-to-Face Instruction,3,25,SL Stewart,M W,2:30PM,3:45PM,HUTCH 310,14M
10081,AAEC-4504,Ag Price Analysis,ONLINE COURSE - VL,Online: Asynchronous,3,0,O Isengildina Massa,(ARR),----- (ARR) -----,ONLINE,00X,
21225,AAEC-4804,Elementary Econometrics,L,Face-to-Face Instruction,3,10,SE Chen,T R,11:00AM,12:15PM,HUTCH 207,11T
10083,AAEC-4804,Elementary Econometrics,ONLINE COURSE - VL,Online: Asynchronous,3,0,SE Chen,(ARR),----- (ARR) -----,ONLINE,00X,
10084,AAEC-4814,Food and Health Economics,L,Face-to-Face Instruction,3,90,GC Davis,T R,12:30PM,1:45PM,TORG 1060,12T
10085,AAEC-4964,Field Study,L,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10086,AAEC-4974,Independent Study,I,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10087,AAEC-4974,Independent Study,I,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10088,AAEC-4974,Independent Study,I,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10089,AAEC-4974,Independent Study,I,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10090,AAEC-4974,Independent Study,I,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10091,AAEC-4974,Independent Study,I,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10092,AAEC-4974,Independent Study,I,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10093,AAEC-4974,Independent Study,I,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10094,AAEC-4974,Independent Study,I,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10095,AAEC-4994,Undergraduate Research,R,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10096,AAEC-4994,Undergraduate Research,R,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10097,AAEC-4994,Undergraduate Research,R,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10098,AAEC-4994,Undergraduate Research,R,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10099,AAEC-4994,Undergraduate Research,R,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10100,AAEC-4994,Undergraduate Research,R,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10101,AAEC-4994,Undergraduate Research,R,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10102,AAEC-4994,Undergraduate Research,R,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10103,AAEC-4994,Undergraduate Research,R,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10104,AAEC-4994,Undergraduate Research,R,,1 TO 19,0,Staff,(ARR),----- (ARR) -----,TBA,00X,
10105,AAEC-5044,Applied Macroeconomics,ONLINE COURSE - VL,Online: Asynchronous,3,25,AL Beleny,(ARR),----- (ARR) -----,ONLINE,00X,
10106,AAEC-5074,Agricultural and Food Policy,ONLINE COURSE - VL,Online: Asynchronous,3,25,DW Dalton,(ARR),----- (ARR) -----,ONLINE,00X,
10107,AAEC-5104,Research Project Plan,L,Face-to-Face Instruction,1,30,DJ Bosch,M,11:15AM,12:05PM,SMYTH 331,00X
10108,AAEC-5126,Empirical Economics,L,Face-to-Face Instruction,3,32,K Moeltner,T R,9:30AM,10:45AM,MCB 216,09T
